genus_epi,northamer_status,hybrid,notes1,notes2
Malus pumila,non-native,no,,
Fraxinus excelsior,non-native,no,,
Prunus avium,non-native,no,,
Juglans regia,non-native,no,,
Populus nigra,non-native,no,,
Acer tataricum,non-native,no,,
Syringa pekinensis,non-native,no,,
Cedrus atlantica,non-native,no,,
Fagus sylvatica,non-native,no,,
Aesculus x carnea,non-native,hybrid,,
Rhamnus frangula,non-native,no,,
Quercus x Regal Prince,non-native,hybrid,,
Acer buergerianum,non-native,no,,
Acer campestre,non-native,no,,
Euonymus alatus,non-native,no,,
Catalpa ovata,non-native,no,,
Koelreuteria paniculata,non-native,no,,
Amur maackia,non-native,no,,
Acer triflorum,non-native,no,,
Acer griseum,non-native,no,,
Crataegus laevigata,non-native,no,,
Quercus michauxii,native,no,,
